"Date","Province","CaseInc","GovType","PartyPosition","CaseCount","Day"
"25-Jan","BC",0,"Minority","Centre-left",0,1
"25-Jan","AB",0,"Majority","Centre-right",0,1
"25-Jan","SK",0,"Majority","Centre-right",0,1
"25-Jan","MB",0,"Majority","Centre-right",0,1
"25-Jan","ON",1,"Majority","Centre-right",1,1
"25-Jan","QC",0,"Majority","Centre-right",0,1
"25-Jan","NB",0,"Minority","Centre-right",0,1
"25-Jan","PE",0,"Minority","Centre-right",0,1
"25-Jan","NS",0,"Majority","Centre-right",0,1
"25-Jan","NL",0,"Minority","Centre-left",0,1
"25-Jan","YT",0,"Majority","Centre-left",0,1
"25-Jan","NT",0,"Nonpartisan","Nonpartisan",0,1
"25-Jan","NU",0,"Nonpartisan","Nonpartisan",0,1
"26-Jan","BC",0,"Minority","Centre-left",0,2
"26-Jan","AB",0,"Majority","Centre-right",0,2
"26-Jan","SK",0,"Majority","Centre-right",0,2
"26-Jan","MB",0,"Majority","Centre-right",0,2
"26-Jan","ON",0,"Majority","Centre-right",1,2
"26-Jan","QC",0,"Majority","Centre-right",0,2
"26-Jan","NB",0,"Minority","Centre-right",0,2
"26-Jan","PE",0,"Minority","Centre-right",0,2
"26-Jan","NS",0,"Majority","Centre-right",0,2
"26-Jan","NL",0,"Minority","Centre-left",0,2
"26-Jan","YT",0,"Majority","Centre-left",0,2
"26-Jan","NT",0,"Nonpartisan","Nonpartisan",0,2
"26-Jan","NU",0,"Nonpartisan","Nonpartisan",0,2
"27-Jan","BC",0,"Minority","Centre-left",0,3
"27-Jan","AB",0,"Majority","Centre-right",0,3
"27-Jan","SK",0,"Majority","Centre-right",0,3
"27-Jan","MB",0,"Majority","Centre-right",0,3
"27-Jan","ON",1,"Majority","Centre-right",2,3
"27-Jan","QC",0,"Majority","Centre-right",0,3
"27-Jan","NB",0,"Minority","Centre-right",0,3
"27-Jan","PE",0,"Minority","Centre-right",0,3
"27-Jan","NS",0,"Majority","Centre-right",0,3
"27-Jan","NL",0,"Minority","Centre-left",0,3
"27-Jan","YT",0,"Majority","Centre-left",0,3
"27-Jan","NT",0,"Nonpartisan","Nonpartisan",0,3
"27-Jan","NU",0,"Nonpartisan","Nonpartisan",0,3
"28-Jan","BC",1,"Minority","Centre-left",1,4
"28-Jan","AB",0,"Majority","Centre-right",0,4
"28-Jan","SK",0,"Majority","Centre-right",0,4
"28-Jan","MB",0,"Majority","Centre-right",0,4
"28-Jan","ON",0,"Majority","Centre-right",2,4
"28-Jan","QC",0,"Majority","Centre-right",0,4
"28-Jan","NB",0,"Minority","Centre-right",0,4
"28-Jan","PE",0,"Minority","Centre-right",0,4
"28-Jan","NS",0,"Majority","Centre-right",0,4
"28-Jan","NL",0,"Minority","Centre-left",0,4
"28-Jan","YT",0,"Majority","Centre-left",0,4
"28-Jan","NT",0,"Nonpartisan","Nonpartisan",0,4
"28-Jan","NU",0,"Nonpartisan","Nonpartisan",0,4
"29-Jan","BC",0,"Minority","Centre-left",1,5
"29-Jan","AB",0,"Majority","Centre-right",0,5
"29-Jan","SK",0,"Majority","Centre-right",0,5
"29-Jan","MB",0,"Majority","Centre-right",0,5
"29-Jan","ON",0,"Majority","Centre-right",2,5
"29-Jan","QC",0,"Majority","Centre-right",0,5
"29-Jan","NB",0,"Minority","Centre-right",0,5
"29-Jan","PE",0,"Minority","Centre-right",0,5
"29-Jan","NS",0,"Majority","Centre-right",0,5
"29-Jan","NL",0,"Minority","Centre-left",0,5
"29-Jan","YT",0,"Majority","Centre-left",0,5
"29-Jan","NT",0,"Nonpartisan","Nonpartisan",0,5
"29-Jan","NU",0,"Nonpartisan","Nonpartisan",0,5
"30-Jan","BC",0,"Minority","Centre-left",1,6
"30-Jan","AB",0,"Majority","Centre-right",0,6
"30-Jan","SK",0,"Majority","Centre-right",0,6
"30-Jan","MB",0,"Majority","Centre-right",0,6
"30-Jan","ON",0,"Majority","Centre-right",2,6
"30-Jan","QC",0,"Majority","Centre-right",0,6
"30-Jan","NB",0,"Minority","Centre-right",0,6
"30-Jan","PE",0,"Minority","Centre-right",0,6
"30-Jan","NS",0,"Majority","Centre-right",0,6
"30-Jan","NL",0,"Minority","Centre-left",0,6
"30-Jan","YT",0,"Majority","Centre-left",0,6
"30-Jan","NT",0,"Nonpartisan","Nonpartisan",0,6
"30-Jan","NU",0,"Nonpartisan","Nonpartisan",0,6
"31-Jan","BC",0,"Minority","Centre-left",1,7
"31-Jan","AB",0,"Majority","Centre-right",0,7
"31-Jan","SK",0,"Majority","Centre-right",0,7
"31-Jan","MB",0,"Majority","Centre-right",0,7
