Date,BC,AB,SK,MB,ON,QC,NB,PE,NS,NL,YT,NT,NU
,,,,,,,,,,,,,
25-Jan,,,,,1,,,,,,,,
27-Jan,,,,,1,,,,,,,,
28-Jan,1,,,,,,,,,,,,
31-Jan,,,,,1,,,,,,,,
4-Feb,1,,,,,,,,,,,,
6-Feb,2,,,,,,,,,,,,
12-Feb,,,,,,,,,,,,,
14-Feb,1,,,,,,,,,,,,
19-Feb,,,,,,,,,,,,,
20-Feb,1,,,,,,,,,,,,
23-Feb,,,,,1,,,,,,,,
24-Feb,1,,,,,,,,,,,,
25-Feb,,,,,,,,,,,,,
26-Feb,,,,,1,,,,,,,,
27-Feb,,,,,1,1,,,,,,,
28-Feb,,,,,2,,,,,,,,
29-Feb,1,,,,3,,,,,,,,
1-Mar,,,,,4,,,,,,,,
2-Mar,,,,,3,,,,,,,,
3-Mar,4,,,,2,,,,,,,,
4-Mar,1,,,,,,,,,,,,
5-Mar,8,1,,,3,2,,,,,,,
6-Mar,,1,,,5,,,,,,,,
7-Mar,6,,,,,,,,,,,,
8-Mar,,2,,,4,1,,,,,,,
9-Mar,5,3,,,3,1,,,,,,,
10-Mar,7,7,,,2,2,,,,,,,
11-Mar,7,5,,,5,2,1,,,,,,
12-Mar,7,4,1,3,18,8,,,,,,,
13-Mar,11,6,1,1,19,,,,,,,,
14-Mar,9,10,4,,24,4,1,1,,1,,,
15-Mar,,17,,3,42,15,4,,3,,,,
16-Mar,30,18,1,1,32,14,1,,2,,,,
17-Mar,83,23,1,7,13,24,1,,2,2,,,
18-Mar,45,22,8,2,25,20,3,,5,,,,
19-Mar,40,27,4,,43,27,,1,2,,,,
20-Mar,77,49,6,,60,18,,,1,1,,,
21-Mar,76,31,18,2,59,42,6,,6,2,,1,
22-Mar,,33,8,1,48,38,,1,7,3,2,,
23-Mar,48,42,14,,78,409,,,13,15,,,
24-Mar,145,57,6,1,85,412,1,,10,11,,,
25-Mar,42,61,14,14,100,299,8,2,17,32,1,,
26-Mar,66,67,9,1,170,290,7,4,5,15,,,
27-Mar,67,56,9,3,135,392,12,2,17,20,1,,
28-Mar,92,79,30,25,151,477,6,,20,18,,,
29-Mar,,40,22,8,211,342,15,,12,15,,,
30-Mar,86,29,20,24,351,590,2,7,5,13,1,,
31-Mar,43,64,8,7,260,732,2,3,20,4,,,
1-Apr,53,117,9,24,426,449,11,,26,23,1,1,
2-Apr,55,97,13,40,401,907,10,1,20,8,,2,
3-Apr,53,107,14,15,462,583,4,,14,12,,,
4-Apr,29,106,11,12,375,896,3,,29,8,,,
5-Apr,,69,18,9,408,947,3,,26,14,,1,
6-Apr,63,98,4,1,309,636,2,,31,9,1,,
7-Apr,25,25,7,13,379,760,2,,17,2,,,
8-Apr,45,50,11,4,550,691,3,3,32,4,1,,
9-Apr,34,28,7,3,483,881,3,,31,4,,,
10-Apr,40,49,7,6,478,765,1,,34,3,,,
11-Apr,35,69,4,13,411,615,,,21,2,,,
12-Apr,,82,9,-1,401,554,2,,17,1,,,
13-Apr,45,81,2,4,421,711,2,,29,2,,,
14-Apr,27,138,1,,483,691,,,43,,,,
15-Apr,44,126,3,,494,612,1,1,32,3,,,
16-Apr,14,162,1,4,514,997,,,30,5,,,
17-Apr,43,239,2,,564,941,,,27,4,1,,
18-Apr,29,165,6,3,485,723,1,,43,0,,,
19-Apr,,241,2,,568,836,,,26,,,,
20-Apr,52,105,1,1,606,962,,,46,,2,,
21-Apr,25,187,4,1,551,807,,,16,,,,
22-Apr,71,306,6,2,510,839,,,35,,,,
23-Apr,29,319,5,5,634,873,,,55,,,,
24-Apr,29,297,10,1,640,778,,,23,,,,
25-Apr,95,216,8,4,476,651,,,15,1,,,
26-Apr,,247,4,4,437,840,,,8,1,,,
27-Apr,50,216,12,1,424,875,,,27,,,,
28-Apr,55,154,1,,525,775,,1,15,,,,
29-Apr,34,315,17,1,347,837,,,20,,,,
30-Apr,25,190,6,2,459,944,,,12,,,,0
1-May,33,218,26,4,421,"1,110",,,12,1,,,
2-May,26,97,6,1,511,"1,008",,,4,,,,
3-May,,96,12,1,434,2209,,,8,,,,
4-May,53,70,34,,370,758,,,14,,,,
5-May,8,57,20,1,387,794,1,,6,,,,
6-May,23,70,25,2,412,910,1,,7,,,,
7-May,31,54,19,-1,399,911,,,9,2,,,
8-May,29,81,13,1,477,912,,,1,,,,
9-May,15,59,9,,346,836,,,3,,,,
10-May,,96,11,3,294,735,,,7,,,,
11-May,23,47,4,2,308,748,,,1,,,,
12-May,7,45,5,1,361,756,,,1,,,,
13-May,16,62,4,,329,706,,,4,,,,
14-May,16,50,5,-1,345,793,,,2,,,,
15-May,15,58,8,,341,696,,,8,-1,,,
16-May,21,72,1,,391,763,,,3,,,,
17-May,,57,1,,340,737,,,3,,,,
18-May,16,39,,1,304,707,,,3,,,,
19-May,2,33,7,,427,570,,,1,,,,
20-May,21,19,21,,390,578,,,1,,,,
